Location,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,NewTests,TotalTests,MedianAge,Aged65Older,Aged70Older,GdpPerCapita,ExtremePoverty,CardiovascDeathRate,DiabetesPrevalence,FemaleSmokers,MaleSmokers,HandwashingFacilities,HospitalBedsPerThousand,LifeExpectancy
United States,6/25/2020,2381361,34339,121979,751,637148,29249633,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/5/2020,312237,34272,8501,1344,119655,1806178,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/21/2020,2255119,34158,119719,607,511098,27134959,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/2/2020,1103781,33955,65068,2062,247084,6859301,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/10/2020,466033,33901,16690,1873,158393,2589367,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/9/2020,432132,33323,14817,1922,171058,2430974,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/19/2020,735086,32922,38910,1856,153930,3910454,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/4/2020,277965,32425,7157,1104,229193,1686523,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/17/2020,671331,31667,33284,2299,158684,3610690,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/23/2020,2312302,31390,120402,427,491719,28093283,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/18/2020,702164,30833,37054,3770,145834,3756524,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/8/2020,398809,30613,12895,1906,147488,2259916,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/7/2020,368196,30561,10989,1342,154242,2112428,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/16/2020,639664,30148,30985,4928,163798,3452006,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/1/2020,1069826,29917,63006,2040,295226,6612217,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/20/2020,2220961,29909,119112,678,559215,26623861,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/3/2020,1133069,29288,66385,1317,236514,7095815,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/3/2020,245540,28819,6053,915,132890,1457330,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/12/2020,529951,28391,20608,1831,138917,2865271,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/8/2020,1256972,28369,75670,2239,297850,8443069,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/21/2020,787752,28065,42539,1857,152834,4208976,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/19/2020,2191052,27762,118434,717,573992,26064646,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/13/2020,557571,27620,22108,1500,134183,2999454,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/30/2020,1039909,27326,60966,2611,232808,6316991,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/15/2020,1417889,27143,85906,1773,358323,10733124,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/2/2020,216721,27103,5138,1059,118851,1324440,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/9/2020,1283929,26957,77180,1510,291609,8734678,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/15/2020,609516,26922,26057,2408,136982,3288208,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/27/2020,965910,26857,54876,1687,195400,5638964,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/24/2020,869172,26543,49963,3179,235857,4961126,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/22/2020,2280912,25793,119975,256,466605,27601564,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/13/2020,2048986,25639,114669,849,496428,23106611,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/10/2020,1309541,25612,78794,1614,266330,9001008,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/18/2020,2163290,25559,117717,754,516193,25490654,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/14/2020,2074526,25540,115436,767,485220,23591831,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/16/2020,1443397,25508,87568,1662,362120,11095244,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/22/2020,1577287,25434,94702,1263,409088,13500516,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/6/2020,337635,25398,9647,1146,152008,1958186,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/30/2020,1747087,25337,102836,1219,425754,16656427,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/6/2020,1897838,25178,109143,932,520251,19837795,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
